Laquelle de ces célébrations correspond au plus important pic de naissance neuf mois plus tard ?;Le nouvel an;Le solstice d’été;Noël;La Saint Valentin;Le nouvel an;nouvel;http://www.sciencesetavenir.fr/sante/grossesse/23-septembre-le-baby-boom-du-jour-de-l-an_27928
Qui est Saint Sylvestre dont on célèbre la fête le 31 Décembre ?;Un pape;Un apôtre de Jésus;Une personne né un 1er janvier;Un martyr;Un pape;nouvel;https://fr.wikipedia.org/wiki/Sylvestre_Ier
En France, depuis quelle année le 1er janvier est considéré comme le premier jour de l’année en vertu de l'Édit de Roussillon ?;1564;L’an 0;325;1789;1564;nouvel;https://fr.wikipedia.org/wiki/Jour_de_l%27an#France_2
Mettre une petite cuillère en argent dans le goulot d’une bouteille de champagne permet d'en conserver les bulles.;Faux;Vrai;;;Faux;champ;http://www.sciencesetavenir.fr/fondamental/particules/une-cuiller-dans-le-goulot-de-la-bouteille-conserve-les-bulles-de-champagne_10923
Comment s'appelle la partie en fil de fer qui permet de sécuriser le bouchon de la bouteille de champagne ?;Le muselet;La cage;Le placomusophile;La capsule;Le muselet;champ;https://fr.wikipedia.org/wiki/Champagne_(AOC)#Bouchon
La pression dans une bouteille de champagne est 2 à 3 fois plus importante quand dans les pneus d’une voiture.;Vrai;Faux;;;Vrai;champ;https://fr.wikipedia.org/wiki/Ordres_de_grandeur_de_pression
Près de la moitié des bouteilles de champagne sont exportées hors de France.;Vrai;Faux;;;Vrai;champ;http://www.champagne.fr/fr/economie/chiffres-clef
Lequel de ces pays est le plus important importateur de Champagne ?;Le Royaume-Uni;La Chine;Les Etats-Unis;L’Allemagne;Le Royaume-Uni;champ;http://www.champagne.fr/fr/economie/chiffres-clef
La Martinique détient le record de consommation de champagne par habitant.;Vrai;Faux;;;Vrai;champ;http://la1ere.francetvinfo.fr/2015/12/31/fetes-de-fin-d-annee-la-martinique-detient-le-record-mondial-de-consommation-de-champagne-318817.html
La consommation moyenne d’alcool en France a diminué de moitié en 50 ans.;Vrai;Faux;;;Vrai;alcool;http://www.alcool-info-service.fr/alcool/consommation-alcool-france/alcool-francais#.WF-iFPnhC00
Dans quelle région, selon l’ancienne nomenclature, trouve-t-on la plus forte proportion de buveur quotidien d’alcool ?;Languedoc-Roussillon;Nord-Pas-de-Calais;Alsace;Bretagne;Languedoc-Roussillon;alcool;http://inpes.santepubliquefrance.fr/CFESBases/catalogue/detaildoc.asp?numfiche=1479
L’utilisation de feux d’artifices est globalement interdite en France lors du réveillon de la Saint Sylvestre.;Faux;Vrai;;;Faux;nouvel;http://www.rtl.fr/actu/societe-faits-divers/nouvel-an-petards-feu-d-artifice-ce-qui-est-autorise-ou-interdit-par-la-loi-7781083174
A l’origine, pourquoi étaient utilisés les feux d’artifices  ?;Pour faire fuir les mauvais esprits;Pour se divertir ;Pour apeurer les armées ennemies ;Pour construire des routes;Pour faire fuir les mauvais esprits;nouvel;http://info.arte.tv/fr/histoire-des-petards-et-feux-dartifices
Dans une boisson, l’alcool est plus calorique que le sucre.;Vrai;Faux;;;Vrai;alcool;http://www.lexpress.fr/styles/forme/alcool-et-calories-quelle-boisson-choisir-pour-ne-pas-grossir_1802568.html
Lequel de ces pays possède la plus grande surface vinicole ?;Espagne;France;Chili;Chine;Espagne;alcool;http://www.lefigaro.fr/conjoncture/2015/04/28/20002-20150428ARTFIG00008-avec-moins-de-vignobles-la-france-produit-plus-de-vins-que-la-chine.php
Boire de l’eau avant de se coucher ou au réveil permet d’éviter la gueule de bois après une soirée arrosée.;Vrai;Faux;;;Vrai;nouvel;http://www.allodocteurs.fr/actualite-sante-contre-la-gueule-de-bois-buvez-de-l-eau-_9145.html
Combien de temps faut-il attendre, après avoir bu une demi-bouteille de vin pendant un repas, avant de pouvoir conduire de nouveau sous la limite d’alcoolémie autorisée ?;1h;2h;3h;4h;1h;alcool;http://www.securite-routiere.gouv.fr/medias/espace-presse/publications-presse/reveillon-du-nouvel-an-alcool-et-conduite-prenez-la-mesure-du-risque-et-prevoyez-le-retour-de-soiree
Les marrons glacés ainsi que la crème de marron sont fait avec des marrons.;Vrai;Faux;;;Vrai;nouvel;https://fr.wikipedia.org/wiki/Marron_(fruit)#Confusions_possibles
